account_id,district_id,frequency,date,Account_type,Mod_date,Card_assigned
1573,63,POPLATEK MESICNE,971229,Savings account,2021-12-29,Silver
3276,1,POPLATEK MESICNE,971229,Salary account,2021-12-29,Silver
124,55,POPLATEK MESICNE,971228,Salary account,2021-12-28,Silver
3958,59,POPLATEK MESICNE,971228,NRI account,2021-12-28,Silver
777,30,POPLATEK MESICNE,971228,Savings account,2021-12-28,Silver
3025,25,POPLATEK MESICNE,971227,Salary account,2021-12-27,Silver
906,59,POPLATEK MESICNE,971227,NRI account,2021-12-27,Silver
845,14,POPLATEK MESICNE,971227,Savings account,2021-12-27,Silver
3048,74,POPLATEK TYDNE,971226,Salary account,2021-12-26,Diamond
1983,54,POPLATEK MESICNE,971225,NRI account,2021-12-25,Silver
727,35,POPLATEK MESICNE,971225,NRI account,2021-12-25,Silver
4332,74,POPLATEK MESICNE,971223,NRI account,2021-12-23,Silver
564,5,POPLATEK MESICNE,971223,NRI account,2021-12-23,Silver
3934,6,POPLATEK MESICNE,971223,NRI account,2021-12-23,Silver
1318,56,POPLATEK MESICNE,971222,Salary account,2021-12-22,Silver
889,43,POPLATEK MESICNE,971222,NRI account,2021-12-22,Silver
3385,1,POPLATEK MESICNE,971221,Salary account,2021-12-21,Silver
703,54,POPLATEK MESICNE,971221,Savings account,2021-12-21,Silver
1177,27,POPLATEK MESICNE,971220,Salary account,2021-12-20,Silver
246,65,POPLATEK MESICNE,971220,Salary account,2021-12-20,Silver
1171,18,POPLATEK MESICNE,971220,NRI account,2021-12-20,Silver
3187,59,POPLATEK MESICNE,971220,Salary account,2021-12-20,Silver
2791,25,POPLATEK MESICNE,971219,Savings account,2021-12-19,Silver
3169,19,POPLATEK MESICNE,971219,Savings account,2021-12-19,Silver
2049,67,POPLATEK MESICNE,971219,Savings account,2021-12-19,Silver
758,51,POPLATEK MESICNE,971219,Salary account,2021-12-19,Silver
2440,19,POPLATEK MESICNE,971218,NRI account,2021-12-18,Silver
1186,64,POPLATEK MESICNE,971217,NRI account,2021-12-17,Silver
3911,32,POPLATEK MESICNE,971216,Salary account,2021-12-16,Silver
3992,43,POPLATEK MESICNE,971216,Savings account,2021-12-16,Silver
579,1,POPLATEK MESICNE,971216,NRI account,2021-12-16,Silver
2892,64,POPLATEK MESICNE,971216,Savings account,2021-12-16,Silver
3616,50,POPLATEK MESICNE,971215,NRI account,2021-12-15,Silver
938,70,POPLATEK MESICNE,971213,Savings account,2021-12-13,Silver
3501,36,POPLATEK MESICNE,971213,Salary account,2021-12-13,Silver
2820,36,POPLATEK MESICNE,971211,NRI account,2021-12-11,Silver
3033,69,POPLATEK MESICNE,971210,NRI account,2021-12-10,Silver
3174,65,POPLATEK MESICNE,971210,Savings account,2021-12-10,Silver
134,34,POPLATEK MESICNE,971210,Salary account,2021-12-10,Silver
1229,46,POPLATEK MESICNE,971210,Salary account,2021-12-10,Silver
3209,45,POPLATEK MESICNE,971210,Salary account,2021-12-10,Silver
1072,65,POPLATEK MESICNE,971209,NRI account,2021-12-09,Silver
1156,59,POPLATEK MESICNE,971209,Salary account,2021-12-09,Silver
3836,68,POPLATEK MESICNE,971209,Salary account,2021-12-09,Silver
3013,73,POPLATEK MESICNE,971209,NRI account,2021-12-09,Silver
673,31,POPLATEK MESICNE,971208,Savings account,2021-12-08,Silver
3406,53,POPLATEK MESICNE,971208,Salary account,2021-12-08,Silver
2796,5,POPLATEK TYDNE,971208,Salary account,2021-12-08,Diamond
2775,30,POPLATEK MESICNE,971208,Savings account,2021-12-08,Silver
